,Social?,Source,Filename,Quality,Start,End,# of People,Face visible?,Gender(s),Notes,Video Editing Notes,Sam's notes,Final (top five),
Cooking,No,https://www.youtube.com/watch?v=JtHB-lJ0BD4,"One on One with Mohammed of Khartoun, Sudanese Restaurant",720p (HD),8:05,8:09,1,y,,,n,,,
Cooking,No,https://www.youtube.com/watch?v=0-pfJeofqy0,How to use a bread machine,720p (HD),1:57,2:01,1,y,,"Not exactly cooking, but its clear that this is food related (0:14-0:18, 1:20-1:24, 1:25-1:29, 1:57-2:01, 2:55-2:59, ...)",cut a few seconds in beginning,,X,
Cooking,No,https://www.youtube.com/watch?v=DwPm20e5b9k,How to bake your ice hockey skates from home,720p (HD),9:15,9:19,1,y,,"Face is visible for 1 sec, then he turns toward oven to remove skates. (you can't really tell that he's not actually baking something)",cut a few seconds in beginning,,,
Cooking,No,https://www.youtube.com/watch?v=Ac2DurZ5LJE,Strawberries & Cream macaron ,720p (HD),3:46,3:50,1,y,,Crop logo in top left corner. Mixing,"cut a few seconds in beginning, cropped out logo",,X,
Cooking,No,https://www.youtube.com/watch?v=A9MA3hJr-0E,How to make gingerbread cookies: iJustine cooking,720p (HD),2:02,2:06,1,y,,lighting could be better,cut a few seconds in the beginning,,X,
Cooking,No,https://www.youtube.com/watch?v=XVuxlfuSegY,Easy Arroz con Pollo ,720p (HD),1:40,1:44,1,y,,quality could be better,n,,X,
Cooking,No,https://www.youtube.com/watch?v=7TruDY_h2BQ,Puerto Rican Arroz con Pollo ,480p,5:21,5:25,1,y,,,n,,X,
Cosmetics Grooming,No,https://www.youtube.com/watch?v=ypWVJrgNulk,Brushing my Teeth with a Bottle of Jack,720p (HD),0:26,0:30,1,y,,Brushing teeth,n,,X,
Cosmetics Grooming,No,https://www.youtube.com/watch?v=55UFB5PJMwE,How to brush your teeth with braces!,720p (HD),2:17,2:21,1,y,,Putting toothpaste on toothbrush,cut a few seconds in beginning,,,
Cosmetics Grooming,No,https://www.youtube.com/watch?v=55UFB5PJMwE,How to brush your teeth with braces!,720p (HD),3:43,3:47,1,y,,Brushing teeth (same person as in prev vid),cut a few seconds in beginning,,X,
Cosmetics Grooming,No,https://www.youtube.com/watch?v=3M_cLOZeeBg,brushing teeth in commercial vs real life,720p (HD),0:03,0:07,1,y,,Brushing teeth,cut a few seconds in the beginning,,X,
Cosmetics Grooming,No,https://www.youtube.com/watch?v=ITLYSuwWnwg,Hair tutorial: Curling Short Hair,720p (HD),1:36,1:40,1,y,,Combing hair,cut a few seconds in beginning,,X,
Cosmetics Grooming,No,https://www.youtube.com/watch?v=uc-rrn2SeMU,Big Hair Tutorial - Voluminous Tight Curls - Rissrose2,720p (HD),3:21,3:25,1,y,,Curling hair,n,,,
Cosmetics Grooming,No,https://www.youtube.com/watch?v=uc-rrn2SeMU,Big Hair Tutorial - Voluminous Tight Curls - Rissrose2,720p (HD),4:26,4:30,1,y,,Same person as in prev clip - she is not talking in this clip,cut a few seconds in the beginning,,X,
Cosmetics Grooming,Yes,https://www.youtube.com/watch?v=4Uc-Wh6GRQc,Women BFFs cut each other's hair pt 1,720p (HD),1:13,1:17,2,y,,BuzzFeedVideo,cut a few seconds in the beginning,,X,
Cosmetics Grooming,Yes,https://www.youtube.com/watch?v=bOKYvmKHJ5w,Women BFFs cut each other's hair pt 2,720p (HD),1:38,1:42,2,y,,BuzzFeedVideo,n,,X,
Cosmetics Grooming,Yes,https://www.youtube.com/watch?v=A_NJE7B57Vg,Boyfriends cut their girlfriends' hair,720p (HD),0:48,0:52,2,y,,BuzzFeedVideo,n,,X,
Cosmetics Grooming,Yes,https://www.youtube.com/watch?v=erzXeFu7I_0,Girlfriends cut their boyfriends' hair,720p (HD),1:34,1:38,2,y,,BuzzFeedVideo,cut a few seconds in the beginning,,,
Cosmetics Grooming,Yes,https://www.youtube.com/watch?v=erzXeFu7I_0,Girlfriends cut their boyfriends' hair,720p (HD),1:49,1:53,2,y,,BuzzFeedVideo,"cut a few seconds in the beginning, cropped so faces are more visible",,,
Cosmetics Grooming,Yes,https://www.youtube.com/watch?v=d9pPgU85zB0,Boyfriends braid their girlfriends' hair,720p (HD),2:08,2:12,2,y,,BuzzFeedVideo,cut a few seconds in the beginning,,,
Cosmetics Grooming,Yes,https://www.youtube.com/watch?v=AbnGRri25Uo,My Girlfriend Cuts my Hair,720p (HD),1:23,1:27,2,y,,,n,,X,
Cosmetics Grooming,Yes,https://www.youtube.com/watch?v=iq6N-L3wJmI,Girlfriend cuts my hair,720p (HD),7:32,7:36,2,y,,,n,,X,
Dancing,Yes,https://www.youtube.com/watch?v=q-foGF9KRKs,Zumba Fitness 2015,480p,1:39,1:43,~10,mid,,Quality could be better,cropped so faces are more visible,,,
Dancing,Yes,https://www.youtube.com/watch?v=zVoYbDlpmZg,Kenneth rehearsal video Nashville School of Dance,720p (HD),0:06,0:10,"2 dancing, 2 watching",y in the last second,,,error,,,
Dancing,Yes,https://www.youtube.com/watch?v=IAzoNLyoNm8,Dance moms: Group Dance: Moulin Rouge,720p (HD),0:23,0:27,4,y,,Lifetime logo in corner,cropped so faces are more visible,,X,
Dancing,Yes,https://www.youtube.com/watch?v=l6j3He8dTSY,Wiggle Dance Cover,720p (HD),0:10,0:14,4,y,,,n,,X,
Dancing,Yes,https://www.youtube.com/watch?v=9c18uu_7vHo,Loyal Remix,720p (HD),0:05,0:09,2,y,,Same people as in prev vid,n,,X,
Dancing,Yes,https://www.youtube.com/watch?v=HqFP3bSDae4,Tu Meri (Bang Bang)- Mayank & Group Dance Cover,720p (HD),0:08,0:12,5,y,,,cropped so faces are more visible,,X,
Dancing,Yes,https://www.youtube.com/watch?v=aG31HChdaxE,Good for You Cooldown for Dance Fitness,720p (HD),0:21,0:25,4,y,,,cropped so faces are more visible,,X,
Dancing,No,https://www.youtube.com/watch?v=9PE-Rl8-2gI,Beyonce- Love on Top,720p (HD),0:22,0:26,1,y,,Logo in corner needs to be cropped,cropped out logo,,X,
Dancing,No,https://www.youtube.com/watch?v=s4ftxdz0-5s,Zumba Choreography - Dione Mason Canada,720p (HD),0:35,0:39,1,y,,,cropped so face is more visible,,X,
Dancing ,No,https://www.youtube.com/watch?v=bbqSlHy4RMU,My Own Narnia Experience,480p,2:58,3:02,1,y,,,n,,X,
Dancing ,No,https://www.youtube.com/watch?v=zVoYbDlpmZg,Kenneth rehearsal video Nashville School of Dance,720p (HD),0:39,0:43,4,y,,,cropped so faces are more visible,,,
Dancing ,No,https://www.youtube.com/watch?v=AWRhcXE50QY,ZUMBA SALSA,720p (HD),0:26,0:30,1,y,,,cropped so face is more visible,,X,
Dancing ,No,https://www.youtube.com/watch?v=WPiW8l5YLEA,No Quiero Cuento Choreo,360p,0:13,0:17,1,y,,Quality could be better,cropped so face is more visible,,X,
Dancing ,No,https://www.youtube.com/watch?v=3KlXhOKG_l4,Zumba warm up holiday/celebrate/citric tones zin 59,480p,0:10,0:14,1,y,,Quality could be better,n,,,
Eating,Yes,https://www.youtube.com/watch?v=BnkU5z17AMs,Things Black People Say Out to Dinner,720p (HD),4:20,4:24,5,y,,,cut a few seconds in the beginning,,X,
Eating,No,https://www.youtube.com/watch?v=UZN7lwY6FD4,The Perfect Birthday Dinner Party,720p (HD),23:40,23:44,~10,y,,Logo in top right corner,cropped out logo,This is more nonsocial,X,videos 73-181: row # is same as name_#
Eating,Yes,https://www.youtube.com/watch?v=Ip4GPyAEPYE,The Dinner Party,720p (HD),0:00,0:04,3,y,,,n,,X,
Eating,Yes,https://www.youtube.com/watch?v=o-M7AnRRHxo,Dinner Party at my Place,720p (HD),3:02,3:06,~10,y,,"Video is sped up, playback at 0.5","25% speed, cut, cropped",,X,
Eating,Yes,https://www.youtube.com/watch?v=MpZYiQIhgqY,Vegan Dinner Party,720p (HD),1:47,1:51,~5,y,,,cropped so faces are more visible,,X,
Eating,Yes,https://www.youtube.com/watch?v=U7kZniEcyZI,The Dinner (African Cherries),720p (HD),1:56,2:00,3,y,,Not a continuous clip,"cut a few seconds at the end, cropped so faces are more visible",,X,
Eating,No,https://www.youtube.com/watch?v=UtM9h21CFpU,Trying new food (March 12th 2011),720p (HD),6:39,6:43,1,y,,Camera is shaking,n,,,
Eating,No,https://www.youtube.com/watch?v=UtM9h21CFpU,Trying new food (March 12th 2011),720p (HD),6:50,6:54,1,y,,Close to face,n,,,
