,Social?,Source,Filename,Quality,Start,End,# of People,Face visible?,Gender(s),Notes,Video Editing Notes,Sam's notes,Final (top five),
Playing instrument,No*,https://www.youtube.com/watch?v=YOZFOAJ13eI,Crazy Good Street Performer - Amazing Piano Busker,720p (HD),0:02,0:06,1,y,,There is an audience around the piano,cropped out sign,,X,
Teaching,Yes,https://www.youtube.com/watch?v=RtoiCaOW5ho,How to teach in an active learning classroom,720p (HD),0:25,0:29,~10,y,,camera is focused on 2 people,cropped so faces are more visible,,X,
Teaching,Yes,https://www.youtube.com/watch?v=RtoiCaOW5ho,How to teach in an active learning classroom,720p (HD),6:22,6:26,~10,y,,Teacher's back is to the camera,cut a few seconds in the beginning,,,
Teaching,Yes,https://www.youtube.com/watch?v=5zhFl5PFyhw,"CATS College Cambridge, Private School for International Students - Case Study",720p (HD),0:31,0:35,~10,y,,,cut a few seconds in the beginning,,X,
Teaching,Yes,https://www.youtube.com/watch?v=aaweXw03kQI,Whole Brain Teaching - Grade 1 Classroom,720p (HD),0:49,0:53,~10,y,,,cut a few seconds at the end ,,X,
Teaching,Yes,https://www.youtube.com/watch?v=aaweXw03kQI,Whole Brain Teaching - Grade 1 Classroom,720p (HD),2:04,2:08,~10,y,,Same people as in prev clip - choose one,cropped so faces are more visible,,,
Teaching,Yes,https://www.youtube.com/watch?v=aaweXw03kQI,Whole Brain Teaching - Grade 1 Classroom,720p (HD),2:10,2:14,~10,y,,Same people as in prev clip - choose one,cropped so faces are more visible,,,
Teaching,Yes,https://www.youtube.com/watch?v=-YvIR7M34nk,Inquiry into Teaching and Learning: Classroom Observation,720p (HD),8:18,8:22,~10,y,,,n,,X,
Teaching,Yes,https://www.youtube.com/watch?v=pgk-719mTxM,"Classroom Management - Week 1, Day 1",720p (HD),18:19,18:23,4,y,,"Teacher's face is visible, the backs of students' heads are visible",n,,X,
Teaching,Yes,https://www.youtube.com/watch?v=pgk-719mTxM,"Classroom Management - Week 1, Day 1",720p (HD),28:24,28:28,6,y,,Same people as in prev vid - choose one,n,,,
Teaching,Yes,https://www.youtube.com/watch?v=pgk-719mTxM,"Classroom Management - Week 1, Day 1",720p (HD),33:06,33:10,,y,,Same people as in prev vid - choose one,"cut a few seconds in the beginning, cropped so faces are more visible",,,
Using Tools,Yes,https://www.youtube.com/watch?v=FGYjx7dZwEs,Using a two-man auger,720p (HD),0:15,0:19,2,y,,,cropped so faces are more visible,,X,
Using Tools,Yes,https://www.youtube.com/watch?v=Ht1zXdFPNi0,How to use an Auger,720p (HD),1:55,1:59,2,y,,faces visible from the side,cut a few seconds in the beginning and at the end,,,
Using Tools,Yes,https://www.youtube.com/watch?v=KHeknr5-aGI,Danny's Deck Day 2,480p,0:44,0:48,2,y,,quality could be better,cropped so faces are more visible,,X,
Using Tools,Yes,https://www.youtube.com/watch?v=I7IFFbP4NkU,Learning to use a two-person crosscut saw,720p (HD),0:16,0:20,2,y,,"one person's back is to the camera. There are many people watching who are facing the camera. face is visible from side. 1:26-1:30, 1:56-2:00, 3:06-3:10, ",cropped so faces are more visible,,,
Using Tools,Yes,https://www.youtube.com/watch?v=0xd-Q9KAmcU,Crosscut saw felling timber,720p (HD),1:27,1:31,2,y,,,cropped out logo,,X,
Using Tools,No,https://www.youtube.com/watch?v=0xd-Q9KAmcU,Crosscut saw felling timber,720p (HD),1:50,1:54,1,y,,Same person as in last clip: Choose one clip,"cropped out logo, cut a few seconds at the end",,,
Using Tools,Yes,https://www.youtube.com/watch?v=aTrxkPaTW8M,Two man buck saw demonstration,720p (HD),0:14,0:18,2,y,,,n,,X,
Using Tools,Yes,https://www.youtube.com/watch?v=ROeXFW3kePQ,Two-man saw,720p (HD),0:01,0:05,2,y,,One person's face is not visible,n,,X,
Using Tools,No,https://www.youtube.com/watch?v=cq48ZA-cWc4,"What's the difference between a drill, impact driver, and a power screwdriver",720p (HD),0:50,0:54,1,y,,,n,,X,
Using Tools,No,https://www.youtube.com/watch?v=r7yLMN-nMu0,DIY Hacks - 8 money saving handyman and woodworking hacks,720p (HD),0:29,0:33,1,y,,Clip shows man screwing in the drill bit,n,,,
Using Tools,No,https://www.youtube.com/watch?v=r7yLMN-nMu0,DIY Hacks - 8 money saving handyman and woodworking hacks,720p (HD),0:38,0:42,1,y,,Same person as in prev clip - choose one. This clip shows him actually using the screwdriver.,n,,X,
Using Tools,No,https://www.youtube.com/watch?v=UTX3o6qK7u8,Splined/Keyed Mitre Sledge Box - Building and using on a table saw,720p (HD),8:26,8:30,1,y,,,n,,X,
Using Tools,No,https://www.youtube.com/watch?v=-rgxwSLXT7k,2/40 Welding tools - Welding for Woodworkers,720p (HD),2:19,2:23,1,y,,,cropped out logo,,,
Using Tools,No,https://www.youtube.com/watch?v=-rgxwSLXT7k,2/40 Welding tools - Welding for Woodworkers,720p (HD),2:26,2:30,1,y,,Same person as in prev clip - choose one,cropped out logo,,,
Using Tools,No,https://www.youtube.com/watch?v=TU3V3MdkaJg,Woodworking: Power tools: Why you need a scroll saw,720p (HD),3:24,3:28,1,y,,Logo in bottom left corner,cropped out logo,,,
Using Tools,No,https://www.youtube.com/watch?v=TU3V3MdkaJg,Woodworking: Power tools: Why you need a scroll saw,720p (HD),3:33,3:37,1,y,,Same person as in prev clip - choose one,cropped out logo,,,
Using Tools,No,https://www.youtube.com/watch?v=yQSeNzaa96c,Miter Saw Basics,720p (HD),2:16,2:20,1,y,,Choose between these 3 clips,cut a few seconds in the beginning,,,
Using Tools,No,https://www.youtube.com/watch?v=yQSeNzaa96c,Miter Saw Basics,720p (HD),3:06,3:10,1,y,,Choose between these 3 clips,n,,,
Using Tools,No,https://www.youtube.com/watch?v=yQSeNzaa96c,Miter Saw Basics,720p (HD),3:11,3:15,1,y,,Choose between these 3 clips,n,,X,
Using Tools,No,https://www.youtube.com/watch?v=yvYjTEpw1BY,Circular Saw - A must have tool,720p (HD),2:30,2:34,1,y,,,n,,X,
Eating,Yes,https://www.youtube.com/watch?v=HXeoocekTro,VLOG: My little Raw Vegan Thanksgiving just fun with family,720p (HD),2:18,2:24,2,y,,,,,X,
Eating,Yes,https://www.youtube.com/watch?v=Z46q35tDf4o,Comfort 101: The Art of the Dinner Party,720p (HD),2:59,3:05,4,y,,,,,,
Phone/Laptop,No,https://www.youtube.com/watch?v=mja0wigW3ao,Best Laptop for College Students in 2016? 11 Greatest Models,720p (HD),11:58,12:05,1,y,,,,,,
Dancing,No,https://www.youtube.com/watch?v=eN6JjTSGl-I,Cuban Contemporary Dance Technique,720p (HD),12:02,12:09,1,,,,,,,
