69.9111 	INFO 	Scanner trigger received
70.9088 	INFO 	Scanner trigger received
71.9060 	INFO 	Scanner trigger received
72.8982 	INFO 	Scanner trigger received
73.9163 	INFO 	Scanner trigger received
74.9135 	INFO 	Scanner trigger received
75.9107 	INFO 	Scanner trigger received
76.9029 	INFO 	Scanner trigger received
77.9211 	INFO 	Scanner trigger received
78.8856 	INFO 	Scanner trigger received
79.9153 	INFO 	Scanner trigger received
80.9078 	INFO 	Scanner trigger received
81.9396 	INFO 	Scanner trigger received
82.8905 	INFO 	Scanner trigger received
83.8876 	INFO 	Scanner trigger received
84.8865 	INFO 	Scanner trigger received
85.8870 	INFO 	Scanner trigger received
86.8958 	INFO 	Scanner trigger received
87.8929 	INFO 	Scanner trigger received
88.8898 	INFO 	Scanner trigger received
89.8897 	INFO 	Scanner trigger received
90.9002 	INFO 	Scanner trigger received
91.8981 	INFO 	Scanner trigger received
92.8941 	INFO 	Scanner trigger received
93.8868 	INFO 	Scanner trigger received
94.9049 	INFO 	Scanner trigger received
95.9019 	INFO 	Scanner trigger received
96.8991 	INFO 	Scanner trigger received
97.8915 	INFO 	Scanner trigger received
98.9095 	INFO 	Scanner trigger received
99.9071 	INFO 	Scanner trigger received
100.9039 	INFO 	Scanner trigger received
101.8963 	INFO 	Scanner trigger received
102.9147 	INFO 	Scanner trigger received
103.9118 	INFO 	Scanner trigger received
104.9101 	INFO 	Scanner trigger received
105.9012 	INFO 	Scanner trigger received
106.8983 	INFO 	Scanner trigger received
107.9163 	INFO 	Scanner trigger received
108.9142 	INFO 	Scanner trigger received
109.9109 	INFO 	Scanner trigger received
110.9031 	INFO 	Scanner trigger received
111.8891 	INFO 	Scanner trigger received
112.8858 	INFO 	Scanner trigger received
113.9157 	INFO 	Scanner trigger received
114.9079 	INFO 	Scanner trigger received
115.9262 	INFO 	Scanner trigger received
116.8910 	INFO 	Scanner trigger received
117.8879 	INFO 	Scanner trigger received
118.8862 	INFO 	Scanner trigger received
119.8996 	INFO 	Scanner trigger received
120.8958 	INFO 	Scanner trigger received
121.8929 	INFO 	Scanner trigger received
122.8895 	INFO 	Scanner trigger received
123.8851 	INFO 	Scanner trigger received
124.9005 	INFO 	Scanner trigger received
125.8971 	INFO 	Scanner trigger received
126.8947 	INFO 	Scanner trigger received
127.8868 	INFO 	Scanner trigger received
128.9048 	INFO 	Scanner trigger received
129.9020 	INFO 	Scanner trigger received
130.8998 	INFO 	Scanner trigger received
131.8916 	INFO 	Scanner trigger received
132.9100 	INFO 	Scanner trigger received
133.9066 	INFO 	Scanner trigger received
134.9044 	INFO 	Scanner trigger received
135.8965 	INFO 	Scanner trigger received
136.9167 	INFO 	Scanner trigger received
137.9123 	INFO 	Scanner trigger received
138.9086 	INFO 	Scanner trigger received
139.9012 	INFO 	Scanner trigger received
140.8985 	INFO 	Scanner trigger received
141.9169 	INFO 	Scanner trigger received
142.9137 	INFO 	Scanner trigger received
143.9142 	INFO 	Scanner trigger received
144.9244 	INFO 	Scanner trigger received
145.8890 	INFO 	Scanner trigger received
146.8861 	INFO 	Scanner trigger received
147.9158 	INFO 	Scanner trigger received
148.8968 	INFO 	Scanner trigger received
149.8939 	INFO 	Scanner trigger received
150.8917 	INFO 	Scanner trigger received
151.9030 	INFO 	Scanner trigger received
152.8870 	INFO 	Scanner trigger received
153.8894 	INFO 	Scanner trigger received
154.8958 	INFO 	Scanner trigger received
155.8923 	INFO 	Scanner trigger received
156.8851 	INFO 	Scanner trigger received
157.8841 	INFO 	Scanner trigger received
158.8999 	INFO 	Scanner trigger received
159.8976 	INFO 	Scanner trigger received
160.8943 	INFO 	Scanner trigger received
161.8870 	INFO 	Scanner trigger received
162.9049 	INFO 	Scanner trigger received
163.9021 	INFO 	Scanner trigger received
164.8999 	INFO 	Scanner trigger received
165.8917 	INFO 	Scanner trigger received
166.9102 	INFO 	Scanner trigger received
167.9074 	INFO 	Scanner trigger received
168.9042 	INFO 	Scanner trigger received
169.8966 	INFO 	Scanner trigger received
170.9145 	INFO 	Scanner trigger received
171.9119 	INFO 	Scanner trigger received
172.9085 	INFO 	Scanner trigger received
173.9015 	INFO 	Scanner trigger received
174.8986 	INFO 	Scanner trigger received
175.9167 	INFO 	Scanner trigger received
176.9136 	INFO 	Scanner trigger received
177.9117 	INFO 	Scanner trigger received
178.9034 	INFO 	Scanner trigger received
179.8890 	INFO 	Scanner trigger received
180.8863 	INFO 	Scanner trigger received
181.8860 	INFO 	Scanner trigger received
182.9081 	INFO 	Scanner trigger received
183.8941 	INFO 	Scanner trigger received
184.8904 	INFO 	Scanner trigger received
185.8881 	INFO 	Scanner trigger received
186.8867 	INFO 	Scanner trigger received
187.8879 	INFO 	Scanner trigger received
188.8956 	INFO 	Scanner trigger received
