0.0007 	WARNING 	Monitor specification not found. Creating a temporary one...
1.1802 	EXP 	Created Window = Window(allowGUI=True, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fbcaa3e89d0>, name='Window', pos=[0, 0], screen=1, size=array([1280, 1024]), stereo=False, units=u'norm', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
1.2945 	EXP 	Created Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='Instructions', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.5)
2.6062 	DATA 	Keypress: space
2.6062 	INFO 	Finished instructions
2.6164 	EXP 	Created Waiting = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='Waiting', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'Loading movie...', units=u'norm', win=Window(...), wrapWidth=1)
2.7695 	EXP 	Created stimuli/INDIANA_JONES_RAIDERS_LOST_ARK_part_7.m4v = MovieStim2(autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name=str(...), noAudio=UNKNOWN, opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 960.,  540.]), units='pix', vframe_callback=UNKNOWN, volume=200, win=Window(...))
2.7799 	EXP 	Created Waiting = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='Waiting', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'Waiting for scanner...', units=u'norm', win=Window(...), wrapWidth=1)
2.8134 	EXP 	stimuli/INDIANA_JONES_RAIDERS_LOST_ARK_part_7.m4v: movie = 'stimuli/INDIANA_JONES_RAIDERS_LOST_ARK_part_7.m4v'
2.8134 	EXP 	stimuli/INDIANA_JONES_RAIDERS_LOST_ARK_part_7.m4v: autoLog = True
2.8134 	INFO 	Serial device detected
0.0000 	INFO 	Got first scanner trigger! Resetting clocks
0.0419 	EXP 	Set stimuli/INDIANA_JONES_RAIDERS_LOST_ARK_part_7.m4v playing
0.0422 	WARNING 	MovieStim2 dropping video frame index: 2
0.8930 	INFO 	Scanner trigger received
1.9092 	INFO 	Scanner trigger received
2.9067 	INFO 	Scanner trigger received
3.8990 	INFO 	Scanner trigger received
4.8961 	INFO 	Scanner trigger received
5.9148 	INFO 	Scanner trigger received
6.9115 	INFO 	Scanner trigger received
7.9086 	INFO 	Scanner trigger received
8.9011 	INFO 	Scanner trigger received
9.9191 	INFO 	Scanner trigger received
10.9165 	INFO 	Scanner trigger received
11.9136 	INFO 	Scanner trigger received
12.9059 	INFO 	Scanner trigger received
13.9031 	INFO 	Scanner trigger received
13.9684 	WARNING 	MovieStim2 dropping video frame index: 416
14.9211 	INFO 	Scanner trigger received
15.9180 	INFO 	Scanner trigger received
16.3059 	WARNING 	MovieStim2 dropping video frame index: 486
16.9107 	INFO 	Scanner trigger received
17.9286 	INFO 	Scanner trigger received
18.8933 	INFO 	Scanner trigger received
19.9234 	INFO 	Scanner trigger received
20.4422 	WARNING 	MovieStim2 dropping video frame index: 610
20.9156 	INFO 	Scanner trigger received
21.9126 	INFO 	Scanner trigger received
22.6016 	WARNING 	MovieStim2 dropping video frame index: 675
22.9003 	INFO 	Scanner trigger received
23.8976 	INFO 	Scanner trigger received
24.8947 	INFO 	Scanner trigger received
25.9084 	INFO 	Scanner trigger received
26.9050 	INFO 	Scanner trigger received
27.9020 	INFO 	Scanner trigger received
28.8992 	INFO 	Scanner trigger received
29.8935 	INFO 	Scanner trigger received
30.9099 	INFO 	Scanner trigger received
31.9070 	INFO 	Scanner trigger received
32.9042 	INFO 	Scanner trigger received
33.8967 	INFO 	Scanner trigger received
34.8938 	INFO 	Scanner trigger received
35.9118 	INFO 	Scanner trigger received
36.9090 	INFO 	Scanner trigger received
37.9069 	INFO 	Scanner trigger received
38.8986 	INFO 	Scanner trigger received
39.9166 	INFO 	Scanner trigger received
40.9139 	INFO 	Scanner trigger received
41.9108 	INFO 	Scanner trigger received
42.9035 	INFO 	Scanner trigger received
43.9213 	INFO 	Scanner trigger received
44.9189 	INFO 	Scanner trigger received
45.9160 	INFO 	Scanner trigger received
46.9083 	INFO 	Scanner trigger received
47.9054 	INFO 	Scanner trigger received
48.8937 	INFO 	Scanner trigger received
49.9225 	INFO 	Scanner trigger received
50.9134 	INFO 	Scanner trigger received
51.4688 	WARNING 	MovieStim2 dropping video frame index: 1540
51.9102 	INFO 	Scanner trigger received
52.8954 	INFO 	Scanner trigger received
53.6102 	WARNING 	MovieStim2 dropping video frame index: 1604
53.9258 	INFO 	Scanner trigger received
54.9225 	INFO 	Scanner trigger received
55.9150 	INFO 	Scanner trigger received
56.9007 	INFO 	Scanner trigger received
57.8976 	INFO 	Scanner trigger received
58.8949 	INFO 	Scanner trigger received
59.8944 	INFO 	Scanner trigger received
60.8960 	INFO 	Scanner trigger received
61.9043 	INFO 	Scanner trigger received
62.8993 	INFO 	Scanner trigger received
63.8984 	INFO 	Scanner trigger received
64.8937 	INFO 	Scanner trigger received
65.9075 	INFO 	Scanner trigger received
66.9068 	INFO 	Scanner trigger received
67.8968 	INFO 	Scanner trigger received
68.9150 	INFO 	Scanner trigger received
69.9118 	INFO 	Scanner trigger received
70.9090 	INFO 	Scanner trigger received
71.9073 	INFO 	Scanner trigger received
72.2284 	WARNING 	MovieStim2 dropping video frame index: 2162
72.8987 	INFO 	Scanner trigger received
73.9169 	INFO 	Scanner trigger received
74.9184 	INFO 	Scanner trigger received
75.9108 	INFO 	Scanner trigger received
76.9035 	INFO 	Scanner trigger received
77.9217 	INFO 	Scanner trigger received
78.9187 	INFO 	Scanner trigger received
79.9174 	INFO 	Scanner trigger received
80.3036 	WARNING 	MovieStim2 dropping video frame index: 2404
80.9082 	INFO 	Scanner trigger received
81.9054 	INFO 	Scanner trigger received
82.9233 	INFO 	Scanner trigger received
83.9210 	INFO 	Scanner trigger received
84.9131 	INFO 	Scanner trigger received
85.9101 	INFO 	Scanner trigger received
86.8967 	INFO 	Scanner trigger received
87.8937 	INFO 	Scanner trigger received
88.9179 	INFO 	Scanner trigger received
89.2121 	WARNING 	Multiple Movie frames have occurred - I'll stop bothering you about them!
89.9150 	INFO 	Scanner trigger received
90.9006 	INFO 	Scanner trigger received
91.8975 	INFO 	Scanner trigger received
92.8946 	INFO 	Scanner trigger received
93.8954 	INFO 	Scanner trigger received
94.9053 	INFO 	Scanner trigger received
95.9025 	INFO 	Scanner trigger received
96.8994 	INFO 	Scanner trigger received
97.8982 	INFO 	Scanner trigger received
98.9104 	INFO 	Scanner trigger received
99.9070 	INFO 	Scanner trigger received
100.9042 	INFO 	Scanner trigger received
101.8968 	INFO 	Scanner trigger received
102.9000 	INFO 	Scanner trigger received
103.9122 	INFO 	Scanner trigger received
104.9088 	INFO 	Scanner trigger received
105.9015 	INFO 	Scanner trigger received
106.8987 	INFO 	Scanner trigger received
107.9167 	INFO 	Scanner trigger received
108.9146 	INFO 	Scanner trigger received
109.9153 	INFO 	Scanner trigger received
110.9034 	INFO 	Scanner trigger received
111.9234 	INFO 	Scanner trigger received
112.9184 	INFO 	Scanner trigger received
113.9157 	INFO 	Scanner trigger received
114.9083 	INFO 	Scanner trigger received
115.9259 	INFO 	Scanner trigger received
116.9252 	INFO 	Scanner trigger received
117.9209 	INFO 	Scanner trigger received
118.9131 	INFO 	Scanner trigger received
119.9314 	INFO 	Scanner trigger received
120.8955 	INFO 	Scanner trigger received
121.8929 	INFO 	Scanner trigger received
122.9180 	INFO 	Scanner trigger received
123.9159 	INFO 	Scanner trigger received
124.9010 	INFO 	Scanner trigger received
125.8974 	INFO 	Scanner trigger received
126.8951 	INFO 	Scanner trigger received
127.8951 	INFO 	Scanner trigger received
128.9057 	INFO 	Scanner trigger received
129.9030 	INFO 	Scanner trigger received
130.8999 	INFO 	Scanner trigger received
131.8935 	INFO 	Scanner trigger received
