0.0005 	WARNING 	Monitor specification not found. Creating a temporary one...
1.1799 	EXP 	Created Window = Window(allowGUI=True, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f17c5d629d0>, name='Window', pos=[0, 0], screen=1, size=array([1280, 1024]), stereo=False, units=u'norm', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
1.2962 	EXP 	Created Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='Instructions', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.5)
3.2363 	DATA 	Keypress: space
3.2364 	INFO 	Finished instructions
3.2465 	EXP 	Created Waiting = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='Waiting', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'Loading movie...', units=u'norm', win=Window(...), wrapWidth=1)
3.3897 	EXP 	Created stimuli/INDIANA_JONES_RAIDERS_LOST_ARK_part_8.m4v = MovieStim2(autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name=str(...), noAudio=UNKNOWN, opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 960.,  540.]), units='pix', vframe_callback=UNKNOWN, volume=200, win=Window(...))
3.4000 	EXP 	Created Waiting = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='Waiting', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'Waiting for scanner...', units=u'norm', win=Window(...), wrapWidth=1)
3.4343 	EXP 	stimuli/INDIANA_JONES_RAIDERS_LOST_ARK_part_8.m4v: movie = 'stimuli/INDIANA_JONES_RAIDERS_LOST_ARK_part_8.m4v'
3.4343 	EXP 	stimuli/INDIANA_JONES_RAIDERS_LOST_ARK_part_8.m4v: autoLog = True
3.4344 	INFO 	Serial device detected
0.0001 	INFO 	Got first scanner trigger! Resetting clocks
0.0416 	EXP 	Set stimuli/INDIANA_JONES_RAIDERS_LOST_ARK_part_8.m4v playing
0.0419 	WARNING 	MovieStim2 dropping video frame index: 2
0.8910 	INFO 	Scanner trigger received
1.9091 	INFO 	Scanner trigger received
2.9064 	INFO 	Scanner trigger received
3.9045 	INFO 	Scanner trigger received
4.8957 	INFO 	Scanner trigger received
5.8929 	INFO 	Scanner trigger received
6.9115 	INFO 	Scanner trigger received
7.9086 	INFO 	Scanner trigger received
8.9006 	INFO 	Scanner trigger received
9.9186 	INFO 	Scanner trigger received
10.9161 	INFO 	Scanner trigger received
11.9130 	INFO 	Scanner trigger received
12.9057 	INFO 	Scanner trigger received
13.9027 	INFO 	Scanner trigger received
14.9210 	INFO 	Scanner trigger received
15.9182 	INFO 	Scanner trigger received
16.9104 	INFO 	Scanner trigger received
17.9076 	INFO 	Scanner trigger received
18.8933 	INFO 	Scanner trigger received
19.9225 	INFO 	Scanner trigger received
20.9202 	INFO 	Scanner trigger received
21.9128 	INFO 	Scanner trigger received
22.8981 	INFO 	Scanner trigger received
23.8954 	INFO 	Scanner trigger received
24.8923 	INFO 	Scanner trigger received
25.3777 	WARNING 	MovieStim2 dropping video frame index: 758
25.8950 	INFO 	Scanner trigger received
26.9027 	INFO 	Scanner trigger received
27.9020 	INFO 	Scanner trigger received
28.8989 	INFO 	Scanner trigger received
29.8916 	INFO 	Scanner trigger received
30.8903 	INFO 	Scanner trigger received
31.9070 	INFO 	Scanner trigger received
32.9039 	INFO 	Scanner trigger received
33.9009 	INFO 	Scanner trigger received
34.8936 	INFO 	Scanner trigger received
35.9116 	INFO 	Scanner trigger received
36.9085 	INFO 	Scanner trigger received
37.9067 	INFO 	Scanner trigger received
38.8984 	INFO 	Scanner trigger received
39.8955 	INFO 	Scanner trigger received
40.9137 	INFO 	Scanner trigger received
41.9109 	INFO 	Scanner trigger received
42.9032 	INFO 	Scanner trigger received
43.9003 	INFO 	Scanner trigger received
44.9184 	INFO 	Scanner trigger received
45.9159 	INFO 	Scanner trigger received
46.9080 	INFO 	Scanner trigger received
47.9051 	INFO 	Scanner trigger received
48.8907 	INFO 	Scanner trigger received
49.9203 	INFO 	Scanner trigger received
50.9174 	INFO 	Scanner trigger received
51.9100 	INFO 	Scanner trigger received
52.8956 	INFO 	Scanner trigger received
53.8928 	INFO 	Scanner trigger received
54.9233 	INFO 	Scanner trigger received
55.8905 	INFO 	Scanner trigger received
56.9002 	INFO 	Scanner trigger received
57.8975 	INFO 	Scanner trigger received
58.8987 	INFO 	Scanner trigger received
59.8940 	INFO 	Scanner trigger received
60.8938 	INFO 	Scanner trigger received
61.9021 	INFO 	Scanner trigger received
62.8993 	INFO 	Scanner trigger received
63.8921 	INFO 	Scanner trigger received
64.8904 	INFO 	Scanner trigger received
65.9071 	INFO 	Scanner trigger received
66.9051 	INFO 	Scanner trigger received
67.8969 	INFO 	Scanner trigger received
68.8937 	INFO 	Scanner trigger received
69.9119 	INFO 	Scanner trigger received
70.9100 	INFO 	Scanner trigger received
71.9062 	INFO 	Scanner trigger received
72.8985 	INFO 	Scanner trigger received
73.9171 	INFO 	Scanner trigger received
74.9141 	INFO 	Scanner trigger received
75.9107 	INFO 	Scanner trigger received
76.3311 	WARNING 	MovieStim2 dropping video frame index: 2285
76.9032 	INFO 	Scanner trigger received
77.9216 	INFO 	Scanner trigger received
78.9183 	INFO 	Scanner trigger received
79.9156 	INFO 	Scanner trigger received
80.9081 	INFO 	Scanner trigger received
81.9052 	INFO 	Scanner trigger received
82.8916 	INFO 	Scanner trigger received
83.9217 	INFO 	Scanner trigger received
84.9172 	INFO 	Scanner trigger received
85.9100 	INFO 	Scanner trigger received
86.8959 	INFO 	Scanner trigger received
87.8928 	INFO 	Scanner trigger received
88.9225 	INFO 	Scanner trigger received
89.9148 	INFO 	Scanner trigger received
90.9008 	INFO 	Scanner trigger received
91.8974 	INFO 	Scanner trigger received
92.8943 	INFO 	Scanner trigger received
93.8944 	INFO 	Scanner trigger received
94.8942 	INFO 	Scanner trigger received
95.9022 	INFO 	Scanner trigger received
96.8993 	INFO 	Scanner trigger received
97.8918 	INFO 	Scanner trigger received
98.8905 	INFO 	Scanner trigger received
99.9071 	INFO 	Scanner trigger received
100.9042 	INFO 	Scanner trigger received
101.8965 	INFO 	Scanner trigger received
102.8938 	INFO 	Scanner trigger received
103.9123 	INFO 	Scanner trigger received
104.9093 	INFO 	Scanner trigger received
105.9014 	INFO 	Scanner trigger received
106.8985 	INFO 	Scanner trigger received
107.9183 	INFO 	Scanner trigger received
108.9135 	INFO 	Scanner trigger received
109.9122 	INFO 	Scanner trigger received
110.9034 	INFO 	Scanner trigger received
111.0340 	WARNING 	MovieStim2 dropping video frame index: 3325
111.9215 	INFO 	Scanner trigger received
112.9187 	INFO 	Scanner trigger received
113.9158 	INFO 	Scanner trigger received
114.9082 	INFO 	Scanner trigger received
115.9052 	INFO 	Scanner trigger received
116.8911 	INFO 	Scanner trigger received
117.9207 	INFO 	Scanner trigger received
118.9133 	INFO 	Scanner trigger received
119.9101 	INFO 	Scanner trigger received
120.8957 	INFO 	Scanner trigger received
121.8925 	INFO 	Scanner trigger received
122.9227 	INFO 	Scanner trigger received
123.9149 	INFO 	Scanner trigger received
124.9002 	INFO 	Scanner trigger received
125.8972 	INFO 	Scanner trigger received
126.8950 	INFO 	Scanner trigger received
127.8938 	INFO 	Scanner trigger received
128.9048 	INFO 	Scanner trigger received
129.9024 	INFO 	Scanner trigger received
130.8996 	INFO 	Scanner trigger received
131.8918 	INFO 	Scanner trigger received
132.9102 	INFO 	Scanner trigger received
133.9071 	INFO 	Scanner trigger received
134.9043 	INFO 	Scanner trigger received
135.8967 	INFO 	Scanner trigger received
136.8938 	INFO 	Scanner trigger received
137.7601 	WARNING 	MovieStim2 dropping video frame index: 4126
137.9121 	INFO 	Scanner trigger received
138.9092 	INFO 	Scanner trigger received
139.9019 	INFO 	Scanner trigger received
140.8987 	INFO 	Scanner trigger received
141.9171 	INFO 	Scanner trigger received
142.9139 	INFO 	Scanner trigger received
143.9112 	INFO 	Scanner trigger received
144.9034 	INFO 	Scanner trigger received
145.9218 	INFO 	Scanner trigger received
146.9183 	INFO 	Scanner trigger received
147.9160 	INFO 	Scanner trigger received
148.9082 	INFO 	Scanner trigger received
149.9263 	INFO 	Scanner trigger received
150.8913 	INFO 	Scanner trigger received
151.9205 	INFO 	Scanner trigger received
152.9131 	INFO 	Scanner trigger received
153.9102 	INFO 	Scanner trigger received
154.8958 	INFO 	Scanner trigger received
155.8929 	INFO 	Scanner trigger received
156.9178 	INFO 	Scanner trigger received
157.8907 	INFO 	Scanner trigger received
158.9005 	INFO 	Scanner trigger received
159.8973 	INFO 	Scanner trigger received
160.8943 	INFO 	Scanner trigger received
161.8961 	INFO 	Scanner trigger received
162.9052 	INFO 	Scanner trigger received
163.9023 	INFO 	Scanner trigger received
164.8992 	INFO 	Scanner trigger received
165.8919 	INFO 	Scanner trigger received
166.9106 	INFO 	Scanner trigger received
167.9076 	INFO 	Scanner trigger received
168.9040 	INFO 	Scanner trigger received
169.8967 	INFO 	Scanner trigger received
170.8938 	INFO 	Scanner trigger received
171.9121 	INFO 	Scanner trigger received
172.9087 	INFO 	Scanner trigger received
173.9015 	INFO 	Scanner trigger received
174.9199 	INFO 	Scanner trigger received
175.9168 	INFO 	Scanner trigger received
176.9139 	INFO 	Scanner trigger received
177.9113 	INFO 	Scanner trigger received
178.9034 	INFO 	Scanner trigger received
179.9228 	INFO 	Scanner trigger received
180.9188 	INFO 	Scanner trigger received
181.9168 	INFO 	Scanner trigger received
182.9083 	INFO 	Scanner trigger received
183.8938 	INFO 	Scanner trigger received
184.8907 	INFO 	Scanner trigger received
185.9224 	INFO 	Scanner trigger received
186.9130 	INFO 	Scanner trigger received
187.8986 	INFO 	Scanner trigger received
188.8957 	INFO 	Scanner trigger received
189.8941 	INFO 	Scanner trigger received
190.8915 	INFO 	Scanner trigger received
191.8921 	INFO 	Scanner trigger received
191.9805 	WARNING 	MovieStim2 dropping video frame index: 5751
192.9003 	INFO 	Scanner trigger received
193.8990 	INFO 	Scanner trigger received
194.8947 	INFO 	Scanner trigger received
195.8960 	INFO 	Scanner trigger received
196.9055 	INFO 	Scanner trigger received
197.9025 	INFO 	Scanner trigger received
198.8991 	INFO 	Scanner trigger received
199.8920 	INFO 	Scanner trigger received
200.9100 	INFO 	Scanner trigger received
201.9079 	INFO 	Scanner trigger received
202.9050 	INFO 	Scanner trigger received
203.8968 	INFO 	Scanner trigger received
204.9149 	INFO 	Scanner trigger received
205.9122 	INFO 	Scanner trigger received
206.9093 	INFO 	Scanner trigger received
207.9016 	INFO 	Scanner trigger received
208.8987 	INFO 	Scanner trigger received
209.9167 	INFO 	Scanner trigger received
210.9143 	INFO 	Scanner trigger received
211.9068 	INFO 	Scanner trigger received
212.9035 	INFO 	Scanner trigger received
213.9217 	INFO 	Scanner trigger received
214.9187 	INFO 	Scanner trigger received
215.9162 	INFO 	Scanner trigger received
216.9083 	INFO 	Scanner trigger received
217.1045 	WARNING 	MovieStim2 dropping video frame index: 6504
217.8935 	INFO 	Scanner trigger received
218.8911 	INFO 	Scanner trigger received
219.9209 	INFO 	Scanner trigger received
220.9132 	INFO 	Scanner trigger received
221.8987 	INFO 	Scanner trigger received
222.8963 	INFO 	Scanner trigger received
223.8946 	INFO 	Scanner trigger received
224.8923 	INFO 	Scanner trigger received
225.8922 	INFO 	Scanner trigger received
226.9005 	INFO 	Scanner trigger received
227.8981 	INFO 	Scanner trigger received
228.8966 	INFO 	Scanner trigger received
229.8972 	INFO 	Scanner trigger received
230.9055 	INFO 	Scanner trigger received
231.9027 	INFO 	Scanner trigger received
232.8997 	INFO 	Scanner trigger received
233.8920 	INFO 	Scanner trigger received
234.9104 	INFO 	Scanner trigger received
235.9077 	INFO 	Scanner trigger received
236.9047 	INFO 	Scanner trigger received
237.8968 	INFO 	Scanner trigger received
238.9150 	INFO 	Scanner trigger received
239.9122 	INFO 	Scanner trigger received
240.9095 	INFO 	Scanner trigger received
241.9017 	INFO 	Scanner trigger received
242.8988 	INFO 	Scanner trigger received
243.9164 	INFO 	Scanner trigger received
244.9143 	INFO 	Scanner trigger received
245.9065 	INFO 	Scanner trigger received
246.9036 	INFO 	Scanner trigger received
247.9217 	INFO 	Scanner trigger received
248.9191 	INFO 	Scanner trigger received
249.9157 	INFO 	Scanner trigger received
250.9085 	INFO 	Scanner trigger received
251.8940 	INFO 	Scanner trigger received
252.8910 	INFO 	Scanner trigger received
253.9209 	INFO 	Scanner trigger received
254.9132 	INFO 	Scanner trigger received
255.8986 	INFO 	Scanner trigger received
256.8958 	INFO 	Scanner trigger received
257.8928 	INFO 	Scanner trigger received
258.8917 	INFO 	Scanner trigger received
259.8941 	INFO 	Scanner trigger received
260.9006 	INFO 	Scanner trigger received
261.8976 	INFO 	Scanner trigger received
262.8902 	INFO 	Scanner trigger received
263.9082 	INFO 	Scanner trigger received
264.9057 	INFO 	Scanner trigger received
265.9023 	INFO 	Scanner trigger received
266.8998 	INFO 	Scanner trigger received
267.8921 	INFO 	Scanner trigger received
268.9101 	INFO 	Scanner trigger received
269.9071 	INFO 	Scanner trigger received
270.9047 	INFO 	Scanner trigger received
271.8969 	INFO 	Scanner trigger received
272.9151 	INFO 	Scanner trigger received
273.9125 	INFO 	Scanner trigger received
274.9116 	INFO 	Scanner trigger received
275.9017 	INFO 	Scanner trigger received
276.9200 	INFO 	Scanner trigger received
277.9169 	INFO 	Scanner trigger received
278.9142 	INFO 	Scanner trigger received
279.9066 	INFO 	Scanner trigger received
280.9037 	INFO 	Scanner trigger received
281.9219 	INFO 	Scanner trigger received
282.9199 	INFO 	Scanner trigger received
283.9114 	INFO 	Scanner trigger received
284.9086 	INFO 	Scanner trigger received
285.8942 	INFO 	Scanner trigger received
286.8937 	INFO 	Scanner trigger received
287.9209 	INFO 	Scanner trigger received
288.9133 	INFO 	Scanner trigger received
289.8986 	INFO 	Scanner trigger received
290.8963 	INFO 	Scanner trigger received
291.8933 	INFO 	Scanner trigger received
292.8938 	INFO 	Scanner trigger received
293.9047 	INFO 	Scanner trigger received
294.9010 	INFO 	Scanner trigger received
295.8984 	INFO 	Scanner trigger received
296.8970 	INFO 	Scanner trigger received
297.8906 	INFO 	Scanner trigger received
298.9058 	INFO 	Scanner trigger received
299.9024 	INFO 	Scanner trigger received
300.9012 	INFO 	Scanner trigger received
301.8922 	INFO 	Scanner trigger received
302.9110 	INFO 	Scanner trigger received
303.9075 	INFO 	Scanner trigger received
304.9046 	INFO 	Scanner trigger received
305.2268 	WARNING 	MovieStim2 dropping video frame index: 9145
305.8969 	INFO 	Scanner trigger received
306.9151 	INFO 	Scanner trigger received
307.6624 	WARNING 	MovieStim2 dropping video frame index: 9218
307.9123 	INFO 	Scanner trigger received
308.9094 	INFO 	Scanner trigger received
309.9018 	INFO 	Scanner trigger received
310.9199 	INFO 	Scanner trigger received
311.9170 	INFO 	Scanner trigger received
312.9141 	INFO 	Scanner trigger received
313.9066 	INFO 	Scanner trigger received
314.9249 	INFO 	Scanner trigger received
315.9214 	INFO 	Scanner trigger received
316.9193 	INFO 	Scanner trigger received
317.9114 	INFO 	Scanner trigger received
318.9104 	INFO 	Scanner trigger received
319.8938 	INFO 	Scanner trigger received
320.8914 	INFO 	Scanner trigger received
321.9209 	INFO 	Scanner trigger received
322.9134 	INFO 	Scanner trigger received
323.8988 	INFO 	Scanner trigger received
324.8960 	INFO 	Scanner trigger received
325.8930 	INFO 	Scanner trigger received
326.8933 	INFO 	Scanner trigger received
327.9037 	INFO 	Scanner trigger received
328.9005 	INFO 	Scanner trigger received
329.8977 	INFO 	Scanner trigger received
330.8903 	INFO 	Scanner trigger received
331.8989 	INFO 	Scanner trigger received
332.9054 	INFO 	Scanner trigger received
333.9027 	INFO 	Scanner trigger received
334.8951 	INFO 	Scanner trigger received
335.8922 	INFO 	Scanner trigger received
336.9106 	INFO 	Scanner trigger received
337.9082 	INFO 	Scanner trigger received
338.8999 	INFO 	Scanner trigger received
339.8970 	INFO 	Scanner trigger received
340.9151 	INFO 	Scanner trigger received
341.9125 	INFO 	Scanner trigger received
342.9097 	INFO 	Scanner trigger received
343.9019 	INFO 	Scanner trigger received
344.9200 	INFO 	Scanner trigger received
345.9170 	INFO 	Scanner trigger received
346.9145 	INFO 	Scanner trigger received
347.9066 	INFO 	Scanner trigger received
348.9250 	INFO 	Scanner trigger received
349.9222 	INFO 	Scanner trigger received
350.9191 	INFO 	Scanner trigger received
351.9115 	INFO 	Scanner trigger received
352.9086 	INFO 	Scanner trigger received
353.8941 	INFO 	Scanner trigger received
354.8913 	INFO 	Scanner trigger received
355.9163 	INFO 	Scanner trigger received
356.9134 	INFO 	Scanner trigger received
357.8992 	INFO 	Scanner trigger received
358.8961 	INFO 	Scanner trigger received
359.8935 	INFO 	Scanner trigger received
360.8945 	INFO 	Scanner trigger received
361.9038 	INFO 	Scanner trigger received
362.9010 	INFO 	Scanner trigger received
363.4205 	WARNING 	Multiple Movie frames have occurred - I'll stop bothering you about them!
363.8982 	INFO 	Scanner trigger received
364.8905 	INFO 	Scanner trigger received
365.9088 	INFO 	Scanner trigger received
366.9055 	INFO 	Scanner trigger received
367.9033 	INFO 	Scanner trigger received
368.8953 	INFO 	Scanner trigger received
369.9133 	INFO 	Scanner trigger received
